      lon.         lat.     shear_stress(bar)   normal_stress(bar)   coulomb_stress(bar)
   -74.494011    18.184539     0.283384899016114E-02    -0.578511873678317E-02     0.519801495447875E-03
   -74.494011    18.194539     0.284408334508776E-02    -0.578667160179837E-02     0.529414704368411E-03
   -74.494011    18.204539     0.285317174224174E-02    -0.578640340907165E-02     0.538610378613086E-03
   -74.494011    18.214539     0.286112758555040E-02    -0.578435568949200E-02     0.547385309753597E-03
   -74.494011    18.224539     0.286796467550647E-02    -0.578057001374843E-02     0.555736670007094E-03
   -74.494011    18.234539     0.287369919916211E-02    -0.577509131984818E-02     0.563662671222834E-03
   -74.494011    18.244539     0.287834877890290E-02    -0.576796683223296E-02     0.571162046009717E-03
   -74.494011    18.254539     0.288193236143547E-02    -0.575924563905488E-02     0.578234105813522E-03
   -74.494011    18.264539     0.288447037042453E-02    -0.574897884965613E-02     0.584878830562074E-03
   -74.494011    18.274539     0.288598455657522E-02    -0.573721935105057E-02     0.591096816154988E-03
   -74.494011    18.284539     0.288649802828185E-02    -0.572402181048085E-02     0.596889304089508E-03
   -74.494011    18.294539     0.288603516599944E-02    -0.570944249744486E-02     0.602258167021500E-03
   -74.494011    18.304539     0.288462156591681E-02    -0.569353914854486E-02     0.607205906498869E-03
   -74.494011    18.314539     0.288228400034997E-02    -0.567637087317837E-02     0.611735651078625E-03
   -74.494011    18.324539     0.287905034360000E-02    -0.565799799066793E-02     0.615851147332830E-03
   -74.494011    18.334539     0.287494951552767E-02    -0.563848190714436E-02     0.619556752669929E-03
   -74.494011    18.344539     0.287001141353064E-02    -0.561788496988204E-02     0.622857425577820E-03
   -74.494011    18.354539     0.286426684428681E-02    -0.559627032556434E-02     0.625758714061073E-03
   -74.494011    18.364539     0.285774745353288E-02    -0.557370177555019E-02     0.628266743312805E-03
   -74.494011    18.374539     0.285048565269804E-02    -0.555024362834854E-02     0.630388201358620E-03
   -74.494011    18.384539     0.284251454334510E-02    -0.552596055077831E-02     0.632130323033780E-03
   -74.494011    18.394539     0.283386784175672E-02    -0.550091742078262E-02     0.633500873443671E-03
   -74.494011    18.404539     0.282457979982672E-02    -0.547517917738641E-02     0.634508128872154E-03
   -74.494011    18.414539     0.281468512685112E-02    -0.544881067231707E-02     0.635160857924292E-03
   -74.494011    18.424539     0.280421890869969E-02    -0.542187652287719E-02     0.635468299548813E-03
   -74.494011    18.434539     0.279321652680923E-02    -0.539444096408726E-02     0.635440141174322E-03
   -74.494011    18.444539     0.278171356869414E-02    -0.536656768251188E-02     0.635086495689391E-03
   -74.494011    18.454539     0.276974565243471E-02    -0.533831967000290E-02     0.634417784433545E-03
   -74.494011    18.464539     0.275734885019218E-02    -0.530975935758713E-02     0.633445107157331E-03
   -74.494011    18.474539     0.274455894178116E-02    -0.528094799281094E-02     0.632179744656781E-03
   -74.494011    18.484539     0.273141103947526E-02    -0.525194543888145E-02     0.630632863922681E-03
