   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
    1     -72.910057      18.505239      29.975880     0.086   150.017    14.967  -115.313   356.102    76.499   -83.479    -60.00    -20.00    1
    2     -73.004707      18.502350      29.975880     0.062   116.236    47.148  -116.589   332.587    49.036   -64.244    -50.00    -20.00    1
    3     -73.099350      18.499399      29.975880     0.118   130.982    31.801  -176.514    38.018    88.164   -58.246    -40.00    -20.00    1
    4     -73.193993      18.496420      29.975880     0.269   140.444    53.687   161.956   241.364    75.546    37.702    -30.00    -20.00    0
    5     -73.288628      18.493380      29.975880     0.347   138.919    52.410   152.864   246.280    68.813    40.861    -20.00    -20.00    0
    6     -73.383270      18.490290      29.975880     0.438    74.239    37.506    54.186   296.530    60.414   114.185    -10.00    -20.00    0
    7     -73.477890      18.487160      29.975880     0.455    98.146    32.342    87.586   281.002    57.691    91.527      0.00    -20.00    0
    8     -73.572517      18.483990      29.975880     0.322   128.518    39.392   129.428   261.744    60.646    62.457     10.00    -20.00    0
    9     -73.667152      18.480761      29.975880     0.176   134.198    49.251   140.350   252.610    61.092    48.216     20.00    -20.00    0
   10     -73.761772      18.477489      29.975880     0.113   131.325    75.736   147.359   230.294    58.484    16.799     30.00    -20.00    0
   11     -73.856392      18.474171      29.975880     0.171   316.656    84.713  -158.968   224.627    69.062    -5.662     40.00    -20.00    0
   12     -73.950996      18.470800      29.975880     0.210   213.033    61.599   -39.987   324.782    55.579  -144.788     50.00    -20.00    1
   13     -74.045609      18.467390      29.975880     0.259   314.532    79.604  -179.445   224.431    89.454   -10.396     60.00    -20.00    0
   14     -74.140221      18.463930      29.975880     0.348   309.055    79.149   176.769    39.664    86.827    10.868     70.00    -20.00    0
   15     -74.234818      18.460421      29.975880     0.202   305.355    89.792   176.476    35.368    86.476     0.207     80.00    -20.00    0
   16     -74.329422      18.456860      29.975880     0.161   122.864    75.619  -151.014    25.030    62.004   -16.337     90.00    -20.00    1
   17     -74.424011      18.453260      29.975880     0.098   103.020    69.675  -101.910   314.287    23.430   -60.876    100.00    -20.00    1
   18     -72.909401      18.485451      25.481911     0.128   135.443    19.959  -133.444     0.661    75.651   -75.979    -60.00    -15.00    1
   19     -73.004044      18.482550      25.481911     0.165   137.585    28.493  -141.765    12.883    72.828   -66.909    -50.00    -15.00    1
   20     -73.098671      18.479610      25.481911     0.216   146.400    34.619  -168.408    46.819    83.445   -55.931    -40.00    -15.00    1
   21     -73.193298      18.476620      25.481911     0.443   142.640    60.082   168.855   238.251    80.356    30.391    -30.00    -15.00    0
   22     -73.287933      18.473591      25.481911     0.694   315.521    73.905   146.662    55.856    58.127    19.053    -20.00    -15.00    1
   23     -73.382553      18.470501      25.481911     0.836    69.631    36.423    45.679   300.144    64.863   117.273    -10.00    -15.00    0
   24     -73.477173      18.467369      25.481911     0.801    96.748    29.464    83.588   284.103    60.739    93.610      0.00    -15.00    0
   25     -73.571793      18.464199      25.481911     0.615   130.011    35.824   128.956   265.093    62.926    65.589     10.00    -15.00    0
   26     -73.666397      18.460970      25.481911     0.360   137.177    53.372   139.600   254.096    58.659    44.310     20.00    -15.00    0
