      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.030922       0.030922        21      20.0      21.0       0.244736     123.459999     216.500000      88.269997      29.639999     119.599998       3.500000
    -60.00    -15.00      25.481911       0.039844       0.039844        21      20.0      21.0       0.244736     202.009995     316.600006      13.410000      84.339996     -25.200001    -102.169998
    -60.00    -10.00      20.987940       0.039470       0.039470        21      20.0      21.0       0.244736     118.339996     208.679993      89.849998      24.280001     114.279999       0.380000
    -60.00     -5.00      16.493971       0.027286       0.027286        21      20.0      21.0       0.244736     282.450012     178.570007      81.970001      30.459999    -119.480003     -15.990000
    -60.00      0.00      12.000000       0.018876       0.018876        21      20.0      21.0       0.244736     157.729996     275.549988      43.730000      65.940002     -36.139999    -127.680000
    -60.00      5.00       7.506030       0.017236       0.017236        21      20.0      21.0       0.244736     139.570007     261.130005      46.450001      61.169998     -41.709999    -128.139999
    -60.00     10.00       3.012060       0.020694       0.020694        21      20.0      21.0       0.244736     126.629997     246.119995      47.650002      61.619999     -40.020000    -130.039993
    -50.00    -20.00      29.975880       0.024778       0.024778        21      20.0      21.0       0.244736     110.930000     208.000000      81.320000      51.119999     140.580002      11.180000
    -50.00    -15.00      25.481911       0.032173       0.032173        21      20.0      21.0       0.244736     100.750000     200.550003      75.459999      56.730000     145.470001      17.469999
    -50.00    -10.00      20.987940       0.028675       0.028675        21      20.0      21.0       0.244736     198.059998     296.170013      28.240000      85.669998      -9.180000    -117.930000
    -50.00     -5.00      16.493971       0.028285       0.028285        21      20.0      21.0       0.244736     104.370003     310.769989      17.540001      74.190002    -115.330002     -82.300003
    -50.00      0.00      12.000000       0.022955       0.022955        21      20.0      21.0       0.244736     102.089996     291.709991      39.740002      50.660000     -97.430000     -83.860001
    -50.00      5.00       7.506030       0.029143       0.029143        21      20.0      21.0       0.244736     119.279999     259.230011      51.880001      45.709999     -62.570000    -120.410004
    -50.00     10.00       3.012060       0.029577       0.029577        21      20.0      21.0       0.244736     109.209999     255.800003      49.770000      45.380001     -66.919998    -114.860001
    -40.00    -20.00      29.975880       0.021202       0.021202        21      20.0      21.0       0.244736     101.769997     212.779999      72.769997      40.869999     127.650002      26.920000
    -40.00    -15.00      25.481911       0.012649       0.012649        21      20.0      21.0       0.244736      92.019997     215.929993      38.330002      66.199997     139.399994      59.029999
    -40.00    -10.00      20.987940       0.018019       0.018019        21      20.0      21.0       0.244736      65.629997     276.029999      21.260000      71.449997      61.330002     100.570000
    -40.00     -5.00      16.493971       0.013848       0.013848        21      20.0      21.0       0.244736      81.419998     271.549988      22.389999      67.919998      80.620003      93.839996
    -40.00      0.00      12.000000       0.013648       0.013648        21      20.0      21.0       0.244736      90.709999     255.460007      82.779999       7.480000     -88.040001    -105.129997
    -40.00      5.00       7.506030       0.007784       0.007784        21      20.0      21.0       0.244736      98.110001     308.950012      71.570000      21.219999    -100.690002     -60.910000
    -40.00     10.00       3.012060       0.010117       0.010117        21      20.0      21.0       0.244736      56.959999     300.320007      54.759998      57.599998    -139.000000     -43.099998
    -30.00    -20.00      29.975880       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -30.00    -15.00      25.481911       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -30.00    -10.00      20.987940       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -30.00     -5.00      16.493971       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -30.00      0.00      12.000000       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -30.00      5.00       7.506030       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -30.00     10.00       3.012060       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -20.00    -20.00      29.975880       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -20.00    -15.00      25.481911       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -20.00    -10.00      20.987940       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -20.00     -5.00      16.493971       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -20.00      0.00      12.000000       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -20.00      5.00       7.506030       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -20.00     10.00       3.012060       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00    -20.00      29.975880       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00    -15.00      25.481911       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00    -10.00      20.987940       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00     -5.00      16.493971       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00      0.00      12.000000       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00      5.00       7.506030       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00     10.00       3.012060       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
      0.00    -20.00      29.975880       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
      0.00    -15.00      25.481911       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
      0.00    -10.00      20.987940       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
      0.00     -5.00      16.493971       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
      0.00      0.00      12.000000       0.000000       0.000000        21      20.0      21.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
