stationid,network,station,location,channel,starttime,endtime,amarker
0,CN,FRB,,BHZ,2021-08-14T12:32:28.000000Z,2021-08-14T12:57:28.000000Z,299.506
1,IU,SFJD,00,BHZ,2021-08-14T12:33:09.019536Z,2021-08-14T12:58:08.969536Z,300.0
2,IU,KBS,00,BHZ,2021-08-14T12:35:27.019538Z,2021-08-14T13:00:26.969538Z,300.932
3,IU,PAB,00,BHZ,2021-08-14T12:34:32.019538Z,2021-08-14T12:59:31.969538Z,302.454
4,IU,MACI,,BHZ,2021-08-14T12:33:24.049998Z,2021-08-14T12:58:23.999998Z,302.134
5,G,TAM,00,BHZ,2021-08-14T12:35:40.000000Z,2021-08-14T13:00:40.000000Z,302.517
6,GT,DBIC,00,BHZ,2021-08-14T12:35:05.000000Z,2021-08-14T13:00:05.000000Z,301.289
7,IU,TRIS,00,BHZ,2021-08-14T12:36:17.019538Z,2021-08-14T13:01:16.994538Z,299.124
8,G,SPB,00,BHZ,2021-08-14T12:32:56.000000Z,2021-08-14T12:57:56.000000Z,298.144
9,GT,CPUP,00,BHZ,2021-08-14T12:32:42.000000Z,2021-08-14T12:57:42.000000Z,296.711
10,GT,LPAZ,00,BHZ,2021-08-14T12:31:01.000000Z,2021-08-14T12:56:01.000000Z,299.212
11,AI,ESPZ,04,BHZ,2021-08-14T12:36:32.000000Z,2021-08-14T13:01:32.000000Z,298.379
12,AI,JUBA,04,BHZ,2021-08-14T12:36:25.000000Z,2021-08-14T13:01:25.000000Z,297.81
13,C,GO01,,BHZ,2021-08-14T12:31:28.000000Z,2021-08-14T12:56:28.000000Z,297.894
14,C,GO03,,BHZ,2021-08-14T12:32:32.000000Z,2021-08-14T12:57:32.000000Z,298.465
15,IU,PMSA,00,BHZ,2021-08-14T12:36:36.019536Z,2021-08-14T13:01:35.969536Z,299.062
16,IU,LCO,00,BHZ,2021-08-14T12:32:43.019538Z,2021-08-14T12:57:42.969538Z,298.721
17,C,GO04,,BHZ,2021-08-14T12:32:51.000000Z,2021-08-14T12:57:51.000000Z,299.299
18,G,PEL,00,BHZ,2021-08-14T12:33:15.000000Z,2021-08-14T12:58:15.000000Z,297.961
19,GT,PLCA,00,BHZ,2021-08-14T12:34:09.000000Z,2021-08-14T12:59:09.000000Z,297.528
20,C,GO06,,BHZ,2021-08-14T12:34:00.000000Z,2021-08-14T12:59:00.000000Z,298.017
21,C,GO05,,BHZ,2021-08-14T12:33:27.000000Z,2021-08-14T12:58:27.000000Z,298.115
22,C,GO10,,BHZ,2021-08-14T12:35:29.000000Z,2021-08-14T13:00:29.000000Z,300.0
23,C,GO09,,BHZ,2021-08-14T12:35:17.000000Z,2021-08-14T13:00:17.000000Z,300.0
24,C,GO08,,BHZ,2021-08-14T12:35:00.000000Z,2021-08-14T13:00:00.000000Z,300.0
25,IU,XMAS,00,BHZ,2021-08-14T12:36:37.019538Z,2021-08-14T13:01:36.994538Z,301.145
26,IU,POHA,00,BHZ,2021-08-14T12:36:00.019538Z,2021-08-14T13:00:59.994538Z,301.41
27,IU,KIP,00,BHZ,2021-08-14T12:36:10.019538Z,2021-08-14T13:01:09.994538Z,300.704
28,CI,BAR,,BHZ,2021-08-14T12:31:52.994500Z,2021-08-14T12:56:52.994500Z,301.73
29,CI,GLA,,BHZ,2021-08-14T12:31:40.996800Z,2021-08-14T12:56:40.996800Z,301.73
30,CI,PLM,,BHZ,2021-08-14T12:31:54.994500Z,2021-08-14T12:56:54.994500Z,302.332
31,IU,TUC,10,BHZ,2021-08-14T12:31:12.019538Z,2021-08-14T12:56:11.994538Z,301.354
32,CI,PASC,00,BHZ,2021-08-14T12:32:04.994500Z,2021-08-14T12:57:04.994500Z,301.586
33,CI,ISA,,BHZ,2021-08-14T12:32:08.994500Z,2021-08-14T12:57:08.994500Z,302.24
34,BK,MCCM,00,BHZ,2021-08-14T12:32:41.019538Z,2021-08-14T12:57:40.994538Z,300.864
35,IU,COR,00,BHZ,2021-08-14T12:32:55.019538Z,2021-08-14T12:57:54.994538Z,299.857
36,IU,RSSD,00,BHZ,2021-08-14T12:31:12.019538Z,2021-08-14T12:56:11.994538Z,299.691
37,IU,ADK,00,BHZ,2021-08-14T12:36:36.019539Z,2021-08-14T13:01:35.994539Z,300.0
38,IU,COLA,00,BHZ,2021-08-14T12:35:00.019536Z,2021-08-14T12:59:59.994536Z,300.0
39,CN,INK,,BHZ,2021-08-14T12:34:30.000000Z,2021-08-14T12:59:30.000000Z,299.012
40,IU,BILL,00,BHZ,2021-08-14T12:36:36.019538Z,2021-08-14T13:01:35.969538Z,301.476
41,IU,TIXI,10,BHZ,2021-08-14T12:37:02.019538Z,2021-08-14T13:02:01.994538Z,300.64
42,CN,RES,,BHZ,2021-08-14T12:33:58.000000Z,2021-08-14T12:58:58.000000Z,299.444
